,awayTeam.id,awayTeam.name,group,homeTeam.id,homeTeam.name,id,lastUpdated,matchday,referees,score.duration,score.extraTime.awayTeam,score.extraTime.homeTeam,score.fullTime.awayTeam,score.fullTime.homeTeam,score.halfTime.awayTeam,score.halfTime.homeTeam,score.penalties.awayTeam,score.penalties.homeTeam,score.winner,season.currentMatchday,season.endDate,season.id,season.startDate,stage,status,utcDate
95,524,Paris Saint-Germain FC,Group C,64,Liverpool FC,250693,2019-01-11T17:30:10Z,1.0,"[{'id': 30687, 'name': 'Cüneyt Çakιr', 'nationality': None}, {'id': 30688, 'name': 'Bahattin Duran', 'nationality': None}, {'id': 30689, 'name': 'Tarık Ongun', 'nationality': None}, {'id': 30438, 'name': 'Baris Şimşek', 'nationality': None}, {'id': 30645, 'name': 'Hüseyin Göçek', 'nationality': None}]",REGULAR,,,2.0,3.0,1.0,2.0,,,HOME_TEAM,7,2019-06-01,175,2018-06-26,GROUP_STAGE,FINISHED,2018-09-18T19:00:00Z
96,113,SSC Napoli,Group C,7283,FK Crvena Zvezda,250694,2019-01-11T17:30:10Z,1.0,"[{'id': 43888, 'name': 'Szymon Marciniak', 'nationality': None}, {'id': 43889, 'name': 'Paweł Sokolnicki', 'nationality': None}, {'id': 43890, 'name': 'Tomasz Listkiewicz', 'nationality': None}, {'id': 43891, 'name': 'Radosław Siejka', 'nationality': None}, {'id': 43892, 'name': 'Paweł Raczkowski', 'nationality': None}, {'id': 43893, 'name': 'Tomasz Musiał', 'nationality': None}]",REGULAR,,,0.0,0.0,0.0,0.0,,,DRAW,7,2019-06-01,175,2018-06-26,GROUP_STAGE,FINISHED,2018-09-18T19:00:00Z
97,503,FC Porto,Group D,6,FC Schalke 04,250705,2019-01-11T17:30:10Z,1.0,"[{'id': 43870, 'name': 'Jesús Gil', 'nationality': None}, {'id': 32192, 'name': 'Ángel Nevado', 'nationality': None}, {'id': 43873, 'name': 'Diego Barbero', 'nationality': None}, {'id': 56941, 'name': 'Javier Martínez', 'nationality': None}, {'id': 15628, 'name': 'Ricardo de Burgos', 'nationality': None}, {'id': 58184, 'name': 'José Luis Munuera', 'nationality': None}]",REGULAR,,,1.0,1.0,1.0,0.0,,,DRAW,7,2019-06-01,175,2018-06-26,GROUP_STAGE,FINISHED,2018-09-18T19:00:00Z
98,5455,FK Lokomotiv Moskva,Group D,610,Galatasaray SK,250706,2019-01-11T17:30:10Z,1.0,"[{'id': 10988, 'name': 'Gianluca Rocchi', 'nationality': None}, {'id': 11058, 'name': 'Mauro Tonolini', 'nationality': None}, {'id': 11055, 'name': 'Filippo Meli', 'nationality': None}, {'id': 83813, 'name': 'Matteo Passari', 'nationality': None}, {'id': 11047, 'name': 'Luca Banti', 'nationality': None}, {'id': 11054, 'name': 'Massimiliano Irrati', 'nationality': None}]",REGULAR,,,0.0,3.0,0.0,1.0,,,HOME_TEAM,7,2019-06-01,175,2018-06-26,GROUP_STAGE,FINISHED,2018-09-18T19:00:00Z
99,1899,PAE AEK,Group E,678,AFC Ajax,250717,2019-01-11T17:30:11Z,1.0,"[{'id': 43843, 'name': 'Carlos del Cerro', 'nationality': None}, {'id': 43844, 'name': 'Juan Carlos Yuste', 'nationality': None}, {'id': 43872, 'name': 'Roberto Alonso', 'nationality': None}, {'id': 56971, 'name': 'Santiago Jaime', 'nationality': None}, {'id': 81, 'name': 'Juan Martínez', 'nationality': None}]",REGULAR,,,0.0,3.0,0.0,0.0,,,HOME_TEAM,7,2019-06-01,175,2018-06-26,GROUP_STAGE,FINISHED,2018-09-19T16:55:00Z
100,2,TSG 1899 Hoffenheim,Group F,1887,FK Shakhtar Donetsk,250729,2019-01-11T17:30:11Z,1.0,"[{'id': 24408, 'name': 'Jakob Kehlet', 'nationality': None}, {'id': 24261, 'name': 'Lars Hummelgaard', 'nationality': None}, {'id': 24403, 'name': 'Michael Tykgaard', 'nationality': None}, {'id': 24316, 'name': 'Jens Maae', 'nationality': None}, {'id': 24404, 'name': 'Heine Sørensen', 'nationality': None}]",REGULAR,,,2.0,2.0,2.0,1.0,,,DRAW,7,2019-06-01,175,2018-06-26,GROUP_STAGE,FINISHED,2018-09-19T16:55:00Z
101,5,FC Bayern München,Group E,1903,Sport Lisboa e Benfica,250718,2019-01-11T17:30:11Z,1.0,"[{'id': 43869, 'name': 'Antonio Matéu', 'nationality': None}, {'id': 134, 'name': 'Pau Cebrián', 'nationality': None}, {'id': 82, 'name': 'Roberto Díaz', 'nationality': None}, {'id': 15625, 'name': 'Alejandro Hernández', 'nationality': None}, {'id': 43864, 'name': 'Javier Estrada', 'nationality': None}]",REGULAR,,,2.0,0.0,1.0,0.0,,,AWAY_TEAM,7,2019-06-01,175,2018-06-26,GROUP_STAGE,FINISHED,2018-09-19T19:00:00Z
102,523,Olympique Lyonnais,Group F,65,Manchester City FC,250730,2019-01-11T17:30:11Z,1.0,"[{'id': 11116, 'name': 'Daniele Orsato', 'nationality': None}, {'id': 11037, 'name': 'Lorenzo Manganelli', 'nationality': None}, {'id': 11069, 'name': 'Fabiano Preti', 'nationality': None}, {'id': 11065, 'name': 'Daniele Doveri', 'nationality': None}, {'id': 11079, 'name': 'Marco Guida', 'nationality': None}, {'id': 10991, 'name': 'Giorgio Peretti', 'nationality': None}]",REGULAR,,,2.0,1.0,2.0,0.0,,,AWAY_TEAM,7,2019-06-01,175,2018-06-26,GROUP_STAGE,FINISHED,2018-09-19T19:00:00Z
103,100,AS Roma,Group G,86,Real Madrid CF,250741,2019-01-11T17:30:12Z,1.0,"[{'id': 9558, 'name': 'Björn Kuipers', 'nationality': None}, {'id': 9559, 'name': 'Sander van Roekel', 'nationality': None}, {'id': 9560, 'name': 'Erwin Zeinstra', 'nationality': None}, {'id': 15152, 'name': 'Pol van Boekel', 'nationality': None}, {'id': 43861, 'name': 'Dennis Higler', 'nationality': None}]",REGULAR,,,0.0,3.0,0.0,1.0,,,HOME_TEAM,7,2019-06-01,175,2018-06-26,GROUP_STAGE,FINISHED,2018-09-19T19:00:00Z
104,1900,PFC CSKA Moskva,Group G,1881,FC Viktoria Plzeň,250742,2019-01-11T17:30:12Z,1.0,"[{'id': 43926, 'name': 'Benoît Bastien', 'nationality': None}, {'id': 43885, 'name': 'Hicham Zakrani', 'nationality': None}, {'id': 43927, 'name': 'Frédéric Haquette', 'nationality': None}, {'id': 43928, 'name': 'Jérôme Miguelgorry', 'nationality': None}, {'id': 15545, 'name': 'Benoît Millot', 'nationality': None}]",REGULAR,,,2.0,2.0,0.0,2.0,,,DRAW,7,2019-06-01,175,2018-06-26,GROUP_STAGE,FINISHED,2018-09-19T19:00:00Z
